KEY,06-26-2018,09-13-2018,02-26-2019,06-25-2019,under_30,under_60,new_voter,four_x,four_x_under_30,four_x_under_60,skipped_patel,age_in_02-26-2019,age_in_06-25-2019,age_in_09-13-2018,age_in_06-26-2018
50036,55,57,30,13,6,68,1,6,0,6,15,45.05899999999999,40.25923076923077,42.19350877192982,39.51145454545455
50037,67,80,49,17,9,92,4,5,0,3,22,45.07244897959184,45.73823529411764,44.896249999999995,43.140597014925376
50038,63,78,51,14,10,97,2,4,0,4,31,45.455098039215706,45.23357142857143,44.17884615384615,41.82539682539682
50039,36,53,36,3,6,57,0,3,1,3,23,42.448888888888895,35.79666666666667,43.8466037735849,44.34083333333332
50040,63,74,49,13,11,88,1,8,1,8,18,39.044489795918366,34.894615384615385,38.64013513513515,36.98936507936509
50041,107,119,75,19,15,138,2,11,0,11,34,39.328266666666664,43.53578947368421,39.422016806722674,37.87308411214953
50042,93,102,69,14,17,112,0,9,0,7,20,41.8036231884058,44.62571428571429,41.20843137254903,39.00311827956989
50043,42,59,40,7,9,72,0,2,0,2,21,34.424749999999996,31.884285714285717,36.977457627118646,36.73404761904762
50044,69,94,65,23,17,103,0,4,0,4,33,40.589846153846146,47.11304347826086,42.98244680851063,40.65811594202899
50045,4,14,7,0,1,10,0,0,0,0,10,46.392857142857146,,52.88785714285715,44.572500000000005
50046,66,98,69,20,13,101,1,5,0,4,42,37.69347826086956,44.25050000000002,38.44867346938775,37.442424242424245
50095,85,107,68,14,28,117,1,6,3,4,35,39.95632352941175,37.39785714285715,41.228971962616825,37.60388235294118
50096,68,77,49,16,11,95,2,6,1,6,25,41.19408163265306,37.61,41.11571428571428,38.136176470588246
50097,64,79,57,17,18,97,3,10,0,7,26,40.85385964912281,43.54235294117647,41.7393670886076,39.530625
50101,37,53,41,11,4,63,0,5,0,5,21,41.680000000000014,36.88999999999999,42.38207547169812,44.829459459459464
50102,34,41,29,8,2,41,0,5,1,4,14,43.491724137931044,40.951249999999995,44.38048780487805,41.32294117647058
53006,7,14,11,2,0,15,0,0,0,0,8,40.76999999999999,37.4,42.51857142857143,38.48428571428571
53019,48,79,54,21,12,76,5,12,1,10,36,43.14481481481481,47.91904761904762,44.4912658227848,42.44708333333333
53020,86,124,85,25,15,122,0,15,0,13,46,45.07788235294117,45.91840000000001,42.87548387096773,40.217093023255806
53033,74,100,68,19,13,113,1,8,2,7,36,42.029264705882355,42.70315789473684,40.985899999999994,41.06486486486488
53034,62,84,62,17,17,95,0,6,0,4,34,41.966612903225816,47.49058823529411,40.69250000000001,38.25806451612903
53035,73,82,51,24,12,104,1,9,1,9,22,39.047843137254894,36.44166666666666,38.66682926829267,39.009726027397264
53036,66,132,97,24,13,105,1,11,0,7,70,52.674536082474226,58.24583333333334,51.61416666666664,43.36727272727271
53037,77,106,79,26,23,111,2,14,2,11,43,45.52164556962027,46.60884615384615,41.94735849056603,40.191558441558435
65052,142,187,159,0,3,104,0,0,0,0,57,57.491886792452846,,59.411176470588224,60.152112676056376
65053,140,183,149,0,4,108,0,0,0,0,59,56.95751677852349,,58.18644808743171,57.12342857142857
65054,113,154,119,0,7,96,0,0,0,0,55,57.431428571428576,,55.54454545454547,53.658141592920344
65055,120,172,126,0,10,127,0,0,0,0,68,55.13658730158732,,56.7801162790698,56.61849999999997
65056,29,99,74,29,4,42,2,5,0,2,74,63.82810810810812,62.20172413793103,63.87929292929294,58.293103448275865
65057,27,97,83,25,11,57,6,4,0,3,73,58.66939759036146,64.15759999999999,61.480000000000004,60.74444444444444
65069,40,52,47,0,7,44,0,0,0,0,18,52.850638297872315,,56.355961538461536,54.60425
65070,10,15,10,0,1,13,0,0,0,0,6,49.927,,48.79933333333334,44.796
65075,49,67,53,0,9,62,0,0,0,0,25,51.246603773584894,,49.68268656716418,48.400408163265304
65076,77,98,83,2,18,90,1,1,1,1,31,49.861204819277106,26.23,49.91428571428571,48.57155844155846
65077,105,143,103,0,17,80,0,0,0,0,53,60.09679611650487,,59.87769230769232,57.91980952380954
65078,57,65,46,0,4,49,0,0,0,0,17,55.838260869565204,,54.13569230769231,52.605087719298226
65079,110,125,78,0,17,100,0,0,0,0,33,54.379230769230766,,52.667519999999996,51.01018181818183
65080,64,96,66,0,17,98,0,0,0,0,44,47.35272727272728,,46.600208333333335,45.13640625000001
65081,52,95,90,0,18,87,0,0,0,0,51,52.18777777777776,,54.154,45.762884615384614
66020,54,69,50,0,8,50,0,0,0,0,27,55.771399999999986,,55.03289855072464,51.39666666666664
66024,53,69,48,0,8,59,0,0,0,0,30,51.703541666666645,,56.19000000000001,54.35716981132078
66025,54,64,45,0,4,28,0,0,0,0,20,64.26999999999998,,62.83718749999999,64.47870370370372
66026,69,90,64,0,15,65,0,0,0,0,33,53.05703125000001,,51.60255555555558,51.901449275362324
66027,61,82,62,0,13,60,0,0,0,0,35,54.588064516129045,,54.91878048780489,54.78360655737704
66028,156,186,134,0,9,81,0,0,0,0,52,62.223880597014926,,62.696612903225784,60.57
66029,75,76,70,0,15,64,0,0,0,0,24,52.432428571428574,,53.86118421052633,52.90039999999999
66030,111,129,97,1,17,103,1,0,0,0,34,50.94371134020618,37.18,52.39147286821703,50.06234234234234
66031,72,74,52,0,10,53,0,0,0,0,18,55.098653846153816,,55.903378378378385,53.2972222222222
66032,103,132,99,0,12,87,0,0,0,0,42,53.92979797979799,,54.306212121212134,55.34825242718446
66033,66,85,52,0,10,57,0,0,0,0,28,55.16192307692306,,55.36235294117648,54.4269696969697
66034,119,150,98,0,17,94,0,0,0,0,49,56.185408163265315,,54.53253333333333,53.65361344537813
66035,124,150,121,0,16,104,0,0,0,0,48,55.454297520661164,,55.399533333333345,54.95064516129031
66036,63,82,62,0,10,67,0,0,0,0,35,51.53258064516128,,52.45878048780491,50.40111111111112
